TVL,Historical_APY,Volatility,Audit_Passed,Liquidity_Score,Chain_Score
100000.0,0.02,0.01,0,0.0,0.5
100400.4004004004,0.02028028028028028,0.01014014014014014,1,0.001001001001001001,0.5005005005005005
100800.8008008008,0.020560560560560562,0.010280280280280281,0,0.002002002002002002,0.501001001001001
101201.2012012012,0.02084084084084084,0.01042042042042042,1,0.003003003003003003,0.5015015015015015
101601.60160160161,0.02112112112112112,0.01056056056056056,0,0.004004004004004004,0.502002002002002
102002.002002002,0.021401401401401402,0.010700700700700701,1,0.005005005005005005,0.5025025025025025
102402.4024024024,0.02168168168168168,0.01084084084084084,0,0.006006006006006006,0.503003003003003
102802.8028028028,0.021961961961961964,0.010980980980980982,1,0.007007007007007007,0.5035035035035035
103203.2032032032,0.022242242242242243,0.011121121121121121,0,0.008008008008008008,0.504004004004004
103603.60360360361,0.02252252252252252,0.01126126126126126,1,0.009009009009009009,0.5045045045045045
104004.004004004,0.022802802802802804,0.011401401401401402,0,0.01001001001001001,0.505005005005005
104404.4044044044,0.023083083083083083,0.011541541541541541,1,0.011011011011011011,0.5055055055055055
104804.80480480481,0.023363363363363365,0.011681681681681683,0,0.012012012012012012,0.506006006006006
105205.2052052052,0.023643643643643644,0.011821821821821822,1,0.013013013013013013,0.5065065065065065
105605.60560560561,0.023923923923923923,0.011961961961961962,0,0.014014014014014014,0.507007007007007
106006.006006006,0.024204204204204202,0.012102102102102101,1,0.015015015015015015,0.5075075075075075
106406.4064064064,0.024484484484484485,0.012242242242242242,0,0.016016016016016016,0.508008008008008
106806.80680680681,0.024764764764764767,0.012382382382382384,1,0.017017017017017015,0.5085085085085085
107207.2072072072,0.025045045045045046,0.012522522522522523,0,0.018018018018018018,0.509009009009009
107607.60760760761,0.025325325325325325,0.012662662662662662,1,0.01901901901901902,0.5095095095095095
108008.00800800801,0.025605605605605604,0.012802802802802802,0,0.02002002002002002,0.51001001001001
108408.4084084084,0.025885885885885886,0.012942942942942943,1,0.02102102102102102,0.5105105105105106
108808.80880880881,0.026166166166166165,0.013083083083083083,0,0.022022022022022022,0.511011011011011
109209.2092092092,0.026446446446446448,0.013223223223223224,1,0.023023023023023025,0.5115115115115115
109609.60960960962,0.026726726726726727,0.013363363363363363,0,0.024024024024024024,0.512012012012012
110010.01001001001,0.027007007007007006,0.013503503503503503,1,0.025025025025025023,0.5125125125125125
110410.4104104104,0.027287287287287288,0.013643643643643644,0,0.026026026026026026,0.513013013013013
